org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
Albuquerque,"['Houston on day 1', 'Beaumont on day 3', 'Dallas on day 5']",7.0,2022-03-08,2.0,"['not shared room', 'smoking']",,no flight,,"Would you kindly organize a 7-day travel plan for 2 individuals starting from Albuquerque? We plan to visit Houston on day 1, Beaumont on day 3, and Dallas on day 5. Our departure date is set for March 8th, 2022. We prefer accommodations with a not shared room and smoking allowed. Additionally, we would like to avoid using flights for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 5000, 'priority': 0, 'question': ""I'd be happy to help with your travel plan. Before proceeding, could you please provide me with the budget you have in mind for this trip?"", 'answer': ""Oh, I'm so excited about this trip! I can't wait to explore new places and create unforgettable memories with less than $5000.""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Houston on day 1', 'San Antonio on day 3', 'Dallas on day 5'], 'priority': 0, 'question': 'It seems that Beaumont is not accessible by any transportation methods. Is there another destination you would like to consider instead of Beaumont?', 'answer': ""San Antonio has always been on my travel bucket list, with its rich history and vibrant culture. I can already imagine strolling along the River Walk, exploring the historic missions, and indulging in some delicious Tex-Mex cuisine. It's definitely a destination that offers a perfect blend of history, culture, and fun activities.""}]"
Salt Lake City,"['Abilene on day 1', 'Amarillo on day 3']",,,,['visitors'],,,12000.0,"Would you kindly organize a trip starting from Salt Lake City and including visits to Abilene on day 1 and Amarillo on day 3? Our budget is set at $12,000, and we prefer accommodations that allow visitors.",medium,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 8, 'priority': 0, 'question': 'Could you please specify how many people will be joining you on this trip?', 'answer': ""We have a fantastic group of eight travelers ready to embark on this exciting journey together! It's going to be a memorable trip with lots of fun and adventures awaiting us.""}, {'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you please provide me with the total number of days you would like this trip to last?', 'answer': 'The trip will last for 5 days.'}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-14', 'priority': 0, 'question': 'When are you planning to depart from Salt Lake City for this trip?', 'answer': ""I can't wait for March 14, 2022 to arrive! It's going to be an exciting day for my trip from Salt Lake City.""}]"
Denver,['Kotzebue on day 1'],3.0,2022-03-17,,"['shared room', 'visitors']","['American', 'Indian']",,7000.0,"I am planning a 3-day trip starting from Denver and heading to Kotzebue on day 1. Our departure date is March 17th, 2022, and we have a budget of $7000. We are looking for shared room accommodations that allow visitors. Additionally, we enjoy American and Indian cuisine.",medium,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Bozeman on day 1'], 'priority': 0, 'question': 'It seems like Kotzebue is not accessible for your trip. Is there another destination you would like to consider instead?', 'answer': ""Absolutely, Bozeman is a fantastic choice! The vibrant culture and stunning scenery there make it a perfect destination for my trip. I can't wait to explore all the outdoor activities and local attractions Bozeman has to offer. It's going to be an unforgettable experience!""}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 8, 'priority': 0, 'question': 'Could you please clarify how many people will be joining you on this trip?', 'answer': 'There will be a total of 8 people, including me.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Are you open to exploring other accommodation options that could work within your budget and preferences?"", 'answer': 'Any accommodation preference is acceptable.'}]"
Billings,"['Flagstaff on day 1', 'Yuma on day 3', 'Phoenix on day 5']",7.0,2022-03-21,6.0,"['shared room', 'parties']",,,,"I am planning a 7-day trip for 6 people starting from Billings. We will be visiting Flagstaff on day 1, Yuma on day 3, and Phoenix on day 5. Our departure date is March 21st, 2022. We are looking for shared room accommodations that allow parties.",medium,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['visitors'], 'priority': 0, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': 'Absolutely, I hope my accommodation allows visitors.'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 11700, 'priority': 0, 'question': 'To better assist you with planning, could you please specify the budget you have in mind for this 7-day trip for 6 people starting from Billings?', 'answer': 'Sure. I think my budget for this trip could be $11,700.'}]"
Gainesville,"['Wilmington on day 1', 'Eugene on day 3']",5.0,,1.0,,,,2900.0,"Would you be able to organize a 5-day solo trip starting from Gainesville? The itinerary should include visits to Wilmington on day 1 and Eugene on day 3, with a budget of $2900.",easy,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-23', 'priority': 0, 'question': 'When are you planning to depart for your solo trip from Gainesville?', 'answer': 'I plan to depart on March 23, 2022.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Wilmington on day 1', 'Fayetteville on day 3'], 'priority': 1, 'question': 'It seems like Eugene is not accessible by any transportation methods. Is there another destination you would like to consider for your trip starting from Gainesville?', 'answer': 'Fayetteville.'}]"
,"['Moline on day 1', 'Chicago on day 3', 'Rockford on day 5']",,2022-03-13,3.0,['children under 10'],,,8400.0,"Could you create a travel plan for 3 individuals starting on March 13th, 2022, with visits to Moline on day 1, Chicago on day 3, and Rockford on day 5? Our budget is set at $8400, and please ensure that the accommodations are suitable for children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Peoria', 'priority': 0, 'question': ""I'd be happy to help plan your trip, but I need to know the departure city. Where will you be starting your journey from?"", 'answer': ""I'll be starting my journey from Peoria.""}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you let me know the total number of days you would like this trip to last?', 'answer': 'The trip will last for 7 days.'}]"
,['Honolulu on day 1'],3.0,2022-03-04,1.0,,,no flight,3200.0,"I am planning a 3-day solo trip to Honolulu, departing on March 4th, 2022. I prefer not to travel by flight and have a budget of $3200.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Ontario', 'priority': 0, 'question': 'Where will you be departing from for your solo trip to Honolulu?', 'answer': 'I will be departing from Ontario.'}, {'operation': 'REPLACE', 'attribute': 'transportation', 'value': None, 'priority': 1, 'question': 'It looks like traveling to Honolulu without taking a flight might not be feasible. Would you be willing to explore other transportation options for your trip?', 'answer': ""Absolutely, I'm open to exploring all transportation options for my trip. Whether it's flying, taking a boat, or even a combination of different modes of transportation, I'm excited to see what's possible. Let's get creative with this journey!""}]"
Fort Lauderdale,['Salina on day 1'],3.0,2022-03-16,2.0,,"['American', 'French']",,,"Can you suggest a 3-day travel itinerary for 2 people starting from Fort Lauderdale and heading to Salina on day 1? We plan to depart on March 16th, 2022, and are interested in exploring American and French cuisine during our trip.",medium,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 2300, 'priority': 0, 'question': 'To better tailor the travel itinerary to your preferences, could you please share the budget you have in mind for this trip?', 'answer': 'My budget for the trip is $2300.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Norfolk on day 1'], 'priority': 0, 'question': 'It seems that Salina is not accessible by any transportation methods. Is there another destination you would like to consider for your trip?', 'answer': 'Norfolk.'}]"
,"['Watertown on day 1', 'Amarillo on day 3', 'Lubbock on day 5']",,2022-03-05,1.0,,,,4100.0,"Please organize a travel plan for a solo traveler departing on March 5th, 2022. The itinerary includes visiting Watertown on day 1, Amarillo on day 3, and Lubbock on day 5, with a budget of $4100.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Augusta', 'priority': 0, 'question': 'I can help with that! Just to clarify, could you please let me know the departure city for your solo trip?', 'answer': ""I'll be departing from Augusta.""}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'To better assist you, could you specify the total number of days you intend to spend on this trip?', 'answer': ""Absolutely, I'm planning to spend a total of 7 days on this trip. I believe it's the perfect amount of time to explore and enjoy everything the destination has to offer.""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Abilene on day 1', 'Amarillo on day 3', 'Lubbock on day 5'], 'priority': 2, 'question': 'It seems Watertown is not accessible by any transportation methods. Is there another destination you would like to consider for day 1 of your trip?', 'answer': ""Abilene has always intrigued me with its rich history and vibrant culture. I can already imagine strolling through the charming streets, exploring local shops, and indulging in delicious cuisine. It's the perfect place to kick off my trip and create unforgettable memories.""}]"
Appleton,['Charlotte on day 1'],,2022-03-18,7.0,['visitors'],,,9500.0,"Could you organize a trip for 7 individuals starting from Appleton and heading to Charlotte on day 1? We plan to depart on March 18th, 2022, with a budget of $9500. Our accommodation preference is to stay with visitors.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'Just to confirm, how many days are you planning for this trip from Appleton to Charlotte for 7 individuals with a budget of $9500 and a preference for staying with visitors?', 'answer': ""Yes, we're looking at a 3-day trip filled with exciting adventures and memorable experiences for all 7 of us. I can't wait to explore Charlotte with everyone and make the most of our time there within our budget. Staying with visitors will surely add a unique touch to our trip!""}]"
Chicago,['Albany on day 1'],,2022-03-22,,"['shared room', 'parties']",,no self-driving,2300.0,"Create a travel plan starting from Chicago and heading to Albany on day 1. The departure date is set for March 22nd, 2022, with a budget of $2300. We prefer shared room accommodations that allow parties, and we will not be self-driving during our journey.",hard,"[{'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'To better assist you, could you please specify the number of days you are planning for this trip?', 'answer': 'I am planning for a 3-day trip.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': 'There will be a total of 2 people, including me.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['entire room', 'smoking'], 'priority': 1, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider for your journey?"", 'answer': ""Oh, absolutely! I'm open to exploring different types of accommodations for this trip. I'm quite flexible and would consider options like having an entire room to myself or finding a place that allows smoking. It's all about creating the perfect atmosphere for a memorable journey!""}]"
